field,source,required
decision_date,daily_PIT,True
effective_execution_date,next_trading_day,True
market_state_before_after,daily_5group_controller,True
five_group_states_confidence_missingness,Taiwan|breadth|capital_risk|derivatives|external,True
risk_multipliers_before_after,frozen_multiplier_contract,True
incumbent_action_impact,state_action_trace,True
entry_blocked_replacement_raised_weakening_accelerated_cash_allowed,controller_effect,True
TAIFEX_participated,derivatives_group,True
TDCC_participated,P3_2_optional_only,True
forward_drawdown_lead_lag,Experiments_evaluation_only,False
