signal_date,exit_date,base_asset,policy_id,exception_definition,state_action,selected_asset_type,selected_ticker,original_consensus4_recommendation,original_exposure_type,path_type,state_hold_semantics,base_entry_adjusted_close,base_exit_adjusted_close,base_interval_return,selected_entry_price,selected_exit_price,selected_interval_return,cumulative_return_before_cost_proxy,drawdown_before_cost_proxy,path_ready,blocked_reason,source_quality,stock_exception_cost_field_available,stock_exception_net_return_local_ep05_cost_unit_notional,cash_condition_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-16,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,stock_exception,stock,2330,2330,stock,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,11.65059757232666,11.536118507385254,-0.009826025165724173,0.8713600039482117,0.881820023059845,0.0120042451618596,0.012004245161859606,0.0,True,,benchmark_features_adjusted_close_reference_only,True,0.0081136822025501,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-23,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,stock_exception,stock,2330,2330,stock,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,11.536118507385254,12.09971523284912,0.04885497016202289,0.881820023059845,0.8500000238418579,-0.0360844598510864,-0.024513381391812583,-0.03608445985108644,True,,benchmark_features_adjusted_close_reference_only,True,-0.0397907588391652,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-30,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,stock_exception,stock,2317,2317,stock,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.09971523284912,11.976428031921388,-0.010189264669057896,0.8500000238418579,0.8554499745368958,0.0064117065202009,-0.01825884747891371,-0.029904116297390648,True,,benchmark_features_adjusted_close_reference_only,True,0.002543080804254,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-06,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,stock_exception,stock,2603,2603,stock,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,11.976428031921388,12.1085205078125,0.011029371657311993,0.8554499745368958,0.8495500087738037,-0.0068969150022899,-0.0250298327621018,-0.036594785151358944,True,,benchmark_features_adjusted_close_reference_only,True,-0.0107146480262029,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-13,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,base_hold,base_asset,0050,00631L,00631L_reference,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.1085205078125,12.23180866241455,0.010181933831016288,12.1085205078125,12.23180866241455,0.010181933831016288,-0.015102751032070594,-0.02678545700131396,True,,benchmark_features_adjusted_close_exact_reference,False,,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-02-13,2015-02-26,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,base_hold,base_asset,0050,00631L,00631L_reference,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.23180866241455,12.381516456604004,0.012239219752469666,12.23180866241455,12.381516456604004,0.012239219752469666,-0.00304837716834927,-0.01487407034325372,True,,benchmark_features_adjusted_close_exact_reference,False,,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-02-26,2015-03-06,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,base_hold,base_asset,0050,00631L,00631L_reference,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.381516456604004,12.29345417022705,-0.007112399089853283,12.381516456604004,12.29345417022705,-0.007112399089853283,-0.010139094983204866,-0.021880679108735257,True,,benchmark_features_adjusted_close_exact_reference,False,,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-03-06,2015-03-13,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,base_hold,base_asset,0050,00631L,00631L_reference,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.29345417022705,12.23180866241455,-0.005014498525711009,12.29345417022705,12.23180866241455,-0.005014498525711009,-0.015102751032070594,-0.02678545700131396,True,,benchmark_features_adjusted_close_exact_reference,False,,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-03-13,2015-03-20,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,base_hold,base_asset,0050,00631L,00631L_reference,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.23180866241455,12.425542831420898,0.01583855457138128,12.23180866241455,12.425542831420898,0.01583855457138128,0.0004965977929112242,-0.011371145352367384,True,,benchmark_features_adjusted_close_exact_reference,False,,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-03-20,2015-03-27,0050,consensus4_else_base,consensus4_ultra_strict_stock_exception,base_hold,base_asset,0050,00631L,00631L_reference,signal_date_interval_state_hold_approximation,base is continuously held between exceptions; interval rows decompose path for Experiments,12.425542831420898,12.1085205078125,-0.025513760477870906,12.425542831420898,12.1085205078125,-0.025513760477870906,-0.02502983276210191,-0.036594785151359055,True,,benchmark_features_adjusted_close_exact_reference,False,,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
