effective_date,ticker,symbol,name,theme_role,review_status,is_current_member,ai_exposure_score,liquidity_score,fundamental_score,theme_strength_score,review_reason
2026-06-01,2330.TW,2330,台積電,AI半導體核心製造,active,true,95,98,92,95,市場核心與半導體上游代表；跨 AI 與非 AI 景氣皆有權重。
2026-06-01,2454.TW,2454,聯發科,AI邊緣與 ASIC 受惠,active,true,88,90,85,90,AI 裝置與 ASIC 題材代表；保留於主線攻擊池。
2026-06-01,2308.TW,2308,台達電,AI電源與資料中心基礎建設,active,true,86,92,86,88,資料中心電源與散熱主線代表；保留於主線攻擊池。
2026-06-01,2317.TW,2317,鴻海,AI伺服器組裝與供應鏈整合,active,true,82,94,78,84,AI伺服器組裝與供應鏈整合代表；保留於主線攻擊池。
2026-06-01,2382.TW,2382,廣達,AI伺服器 ODM,active,true,90,91,82,90,AI伺服器 ODM 主線代表；保留於主線攻擊池。
2026-06-01,3231.TW,3231,緯創,AI伺服器 ODM,active,true,88,86,80,88,AI伺服器與代工題材代表；保留於主線攻擊池。
2026-06-01,6669.TW,6669,緯穎,AI伺服器高純度受惠股,active,true,94,78,84,92,AI伺服器純度高但波動較大；保留於主線攻擊池並需持續檢查風險。
2026-06-01,3017.TW,3017,奇鋐,AI散熱,watch,false,82,70,72,82,AI散熱題材觀察候選；尚未納入正式池，需月頻審核市值流動性與基本面品質。
2026-06-01,3324.TW,3324,雙鴻,AI散熱,watch,false,80,66,70,80,AI散熱題材觀察候選；波動與流動性需再確認。
2026-06-01,3443.TW,3443,創意,ASIC設計服務,watch,false,84,68,72,82,ASIC 題材觀察候選；需確認是否符合中大型權值與流動性標準。
2026-06-01,3661.TW,3661,世芯-KY,ASIC設計服務,watch,false,85,66,70,82,ASIC 題材觀察候選；需確認流動性、估值與波動風險。
