snapshot_date,ticker,name,market,scope_bucket,latest_revenue_year_month,revenue_stability_score,revenue_stability_percentile_vs_primary80,revenue_lumpiness_score,revenue_lumpiness_percentile_vs_primary80,project_revenue_business_model_proxy,contract_project_keyword_proxy,revenue_lumpiness_business_risk_label,long_revenue_stability_context,project_risk_review_flag,project_risk_report_text,proxy_source_quality,proxy_confidence_level,matched_keywords,keyword_source_status,keyword_source,keyword_evidence_text,hygiene_warning_text_for_report,integration_policy,layer_destination,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-06-29,8926,台汽電,TWSE,latest_layer4_primary80,2026-05,0.4809242171484062,0.0375,0.5068743323027831,1.0,False,False,high_lumpiness_low_stability_shape_review,long_revenue_stability_low_or_bottom_percentile,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low_shape_only,,blocked_no_bounded_company_text_source,,,營收形態偏 lumpy/project-based proxy，僅作風險提醒；營收集中度偏高，Layer4 排序應納入軟扣分,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,5289,宜鼎,TPEx,latest_layer4_primary80,2026-05,0.5342636094546446,0.075,0.4313106658413036,0.9875,False,False,high_lumpiness_low_stability_shape_review,long_revenue_stability_low_or_bottom_percentile,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low_shape_only,,blocked_no_bounded_company_text_source,,,長期營收 hygiene 未觸發主要警示,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,5351,鈺創,TPEx,latest_layer4_primary80,2026-05,0.5743939794298702,0.15,0.3222971048432607,0.975,False,False,high_lumpiness_low_stability_shape_review,long_revenue_stability_low_or_bottom_percentile,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low_shape_only,,blocked_no_bounded_company_text_source,,,近期營收暴增但長期穩定性需人工 review；營收形態偏 lumpy/project-based proxy，僅作風險提醒；營收集中度偏高，Layer4 排序應納入軟扣分,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,6806,森崴能源,MOPS_PUB,sanity_case_not_latest_primary80,2026-05,0.6027863109103393,0.2125,0.2867231662208861,0.9625,True,True,keyword_plus_shape_project_risk_review,long_revenue_stability_low_or_bottom_percentile,True,官方月營收說明出現工程/認列收入等專案型 keyword，且營收集中度偏高、長期穩定性偏低；僅作 review/soft penalty，不作 hard exclude。,bounded_official_mops_note_keyword_plus_monthly_shape_proxy,medium_keyword_plus_revenue_shape,工程;離岸;認列收入,bounded_mops_monthly_revenue_notes_ready,MOPS monthly revenue company-specific ajax notes,MOPS company-specific monthly revenue value converted from thousand TWD to TWD; available_date uses conservative next-month day 10 weekday-adjusted rule.; revenue_change_note=主要係因離岸之主要工程開始施作認列收入所致 | MOPS company-specific monthly revenue value converted from thousand TWD to TWD; available_date uses conservative next-month day 10 weekday-adjusted rule.; revenue_change_note=主要係因離岸之主要工程開始施作認列收入所致 | MOPS company-specific monthly revenue value converted from thousand TWD to TWD; available_date uses conservative next-month day 10 weekday-adjusted rule.; revenue_change_note=主要係因離岸之主要工程開始施作認列收入所致 | MOP,,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,3006,晶豪科,TWSE,latest_layer4_primary80,2026-05,0.638909657866858,0.375,0.2604736395679591,0.95,False,False,high_lumpiness_but_stability_not_low,stable_or_insufficient_context,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low,,blocked_no_bounded_company_text_source,,,近期營收暴增但長期穩定性需人工 review；營收形態偏 lumpy/project-based proxy，僅作風險提醒；營收集中度偏高，Layer4 排序應納入軟扣分,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,4931,新盛力,TPEx,latest_layer4_primary80,2026-05,0.679422593428077,0.6875,0.1699297920173463,0.8375,False,False,high_lumpiness_but_stability_not_low,stable_or_insufficient_context,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low,,blocked_no_bounded_company_text_source,,,近期營收暴增但長期穩定性需人工 review；營收形態偏 lumpy/project-based proxy，僅作風險提醒；營收集中度偏高，Layer4 排序應納入軟扣分,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,2882,國泰金,TWSE,latest_layer4_primary80,2026-05,0.5290272560112503,0.0625,0.165232387159237,0.825,False,False,high_lumpiness_low_stability_shape_review,long_revenue_stability_low_or_bottom_percentile,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low_shape_only,,blocked_no_bounded_company_text_source,,,長期營收 hygiene 未觸發主要警示,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,2347,聯強,TWSE,latest_layer4_primary80,2026-05,0.6562733200571489,0.525,0.1277774020324092,0.7,False,False,low_lumpiness_or_stable,stable_or_insufficient_context,True,營收形狀顯示 lumpiness 或近期暴衝風險，但缺公司文字 source；只能作低信心 proxy review。,monthly_shape_only_no_business_text_source,low,,blocked_no_bounded_company_text_source,,,近期營收暴增但長期穩定性需人工 review；營收形態偏 lumpy/project-based proxy，僅作風險提醒,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,8299,群聯,TPEx,latest_layer4_primary80,2026-05,0.6571794231704862,0.5375,0.2774647419789006,0.9625,False,False,high_lumpiness_but_stability_not_low,stable_or_insufficient_context,False,未觸發 project-based business-model proxy；仍非正式商業模式判定。,monthly_shape_only_no_business_text_source,low,,blocked_no_bounded_company_text_source,,,長期營收 hygiene 未觸發主要警示,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
2026-06-29,3231,緯創,TWSE,latest_layer4_primary80,2026-05,0.7672377958351315,0.925,0.2120397179339222,0.9375,False,False,high_lumpiness_but_stability_not_low,stable_or_insufficient_context,False,未觸發 project-based business-model proxy；仍非正式商業模式判定。,monthly_shape_only_no_business_text_source,low,,blocked_no_bounded_company_text_source,,,長期營收 hygiene 未觸發主要警示,soft_review_flag_only_no_hard_exclude,Layer1_quality_context_and_Layer4_risk_context,True,False,False,False,False,False,False,False,True,False
