field,field_as_of_date,blocked_reason,proxy_policy,next_owner
official_ohlcv_full_sweep,2026-07-02,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Radar/Data
official_ohlcv_pit_daily_sample,2026-07-02,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Radar/Data
layer4_primary80_snapshot,2026-06-29,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Core/Data after source anchor
0050_market_regime_fields,2026-06-30,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Core/Data after source anchor
dynamic80_pool_regime_fields,2026-06-29,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Core/Data after source anchor
exact_consensus_trigger,2026-06-29,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Core/Data after source anchor
route_support_max1_state_machine,2026-06-29,missing_requested_date_source_or_vnext_materialization,latest_available_may_be_shown_as_reference_only_not_selected,Core/Data after source anchor
selected_stock_adjusted_close,,adjusted close remains blocked for vNext selected stocks,official unadjusted OHLC diagnostic only,Strategy Center policy or Radar/Data adjusted source route
cash_bear_classifier,,cash/bear classifier not accepted,no cash rule in this report pipeline,Strategy Center
formal_live_rule,2026-06-29,report-only pipeline; not formal or active trade decision,not_live_rule=true,Strategy Center formal review later
pdf_visual_render_validation,2026-06-29,pdftoppm/pdfinfo and pypdf/pdfplumber are unavailable in this Python environment,basic PDF header and nonzero-size validation only,Core/Data environment dependency or Strategy Center manual visual review
