field,source,accepted_label,source_quality,layer1_usage_candidate,notes,diagnostic_only
operating_cash_flow,t164sb05,accepted,exact_pit_when_joined_to_official_asof,cashflow_quality_candidate,raw OCF field; no formal threshold,True
investing_cash_flow,t164sb05,accepted,exact_pit_when_joined_to_official_asof,cashflow_context,raw investing cash flow field,True
capex_proxy,t164sb05,accepted_proxy,human_review_required,capex_or_fcf_proxy_candidate,label policy must mark proxy; not formal FCF,True
inventory,t164sb03,accepted,exact_pit_when_joined_to_official_asof,inventory_risk_candidate,balance-sheet inventory level,True
receivables_trade,t164sb03,accepted_proxy,human_review_required,receivables_basket_candidate,basket definition must remain explicit,True
current_assets,t164sb03,accepted,exact_pit_when_joined_to_official_asof,liquidity_candidate,needed for current_ratio,True
current_liabilities,t164sb03,accepted,exact_pit_when_joined_to_official_asof,liquidity_candidate,needed for current_ratio,True
current_ratio,derived,accepted,derived_pit_from_current_assets_liabilities,solvency_candidate,current_assets / current_liabilities,True
market_available_at,t05st01/t05st01_detail,accepted,official_public_announcement_timestamp,asof_join_key,public material-information timestamp,True
signal_eligible_date,trading_calendar,accepted_policy,derived_from_after_close_next_trading_day_policy,pit_eligibility_key,after-close announcements eligible next trading day,True
