ticker,name,requested_start,requested_end,historical_market_from_official_raw_ledger,finmind_expected_market,market_mapping_classification,finmind_delisting_date,yahoo_search_symbols,resolution_status,classification,accepted_provider_symbol,accepted_price_rows,accepted_coverage_start,accepted_coverage_end,source_quality,blocked_reason,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1262,綠悅-KY,2015-12-17,2018-11-16,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2019-10-14,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
1592,英瑞-KY,2016-01-21,2016-09-23,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2022-01-27,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
1701,中化,2019-11-14,2020-06-24,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2024-09-02,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
1704,榮化,2016-01-14,2019-01-04,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2019-01-30,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
1729,必翔,2016-06-23,2016-11-11,,twse,market_mapping_from_finmind_only_no_raw_rows_in_requested_interval,2018-01-02,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
1752,南光,2015-04-02,2019-10-04,TPEx,twse,historical_market_transition_or_master_snapshot_difference,,1752.TW,blocked,searchable_symbol_yahoo_adjusted_chart_empty,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo symbol search resolves ticker but bounded adjusted chart returns no usable rows; FinMind adjusted dataset requires paid membership,0,False,False,False,False,False,False,False,True,False
1902,台紙,2019-12-03,2020-04-01,TWSE,unknown,market_mapping_recovered_from_official_raw_ledger,2020-06-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2311,日月光,2014-09-11,2018-04-13,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-04-30,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2325,矽品,2014-09-11,2018-04-13,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-04-30,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2448,晶電,2014-09-11,2020-12-18,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2021-01-06,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
