field_group,source_quality,contract_role
compact_layer0_active_scope,exact_from_core_contract,base_universe
layer1_b30_pass_through_eligible,diagnostic_exact_from_core_contract,base_eligibility
layer2_context_fields,diagnostic_exact_or_proxy_mixed,context_only_pass_through
layer3_broad_opportunity_scores,diagnostic_exact_or_proxy_mixed,ranking_context
RS30_proxy,proxy,RS30 exact unavailable
large_down_day_count_20d_proxy,proxy,risk context
blowoff_turnover_without_price_continuation_proxy,proxy,risk context
risk_bucket,blocked,formal risk bucket unavailable
turnover_share_raw,blocked,raw traded-value share not carried in Layer3 contract
theme_ai_dynamic_slot,blocked_placeholder,no accepted theme slot contract in this package
forward_excess_vs_0050_5d_10d_20d_30d_40d,evaluation_metadata_only,not rule construction
forward_excess_vs_00631L_5d_10d_20d_30d_40d,evaluation_metadata_only,not rule construction
